inter_id,inter_name,exit_dir8,exit_label,downstream_inter_id,downstream_inter_name,downstream_signalized
011wwe64p7d00001,岔口,6,西出口,011wwe64p7600001,银河路与248省道路口,1
011wwe64p7m00001,岔口,4,南出口,011wwe64p7600001,银河路与248省道路口,1
011wwe64pr300001,永康街与汇鑫路路口,0,北出口,011wwe660pq00001,闻韶街与汇鑫路路口,1
011wwe64pr300001,永康街与汇鑫路路口,2,东出口,011wwe64r3800001,永康街与永安路路口,1
011wwe64pxm00001,岔口,4,南出口,011wwe64pr300001,永康街与汇鑫路路口,1
011wwe64qh900001,光明街与正安路路口,0,北出口,011wwe64rhx00001,永康街与正安路路口,1
011wwe64r2000001,岔口,6,西出口,011wwe64pr300001,永康街与汇鑫路路口,1
011wwe64r3800001,永康街与永安路路口,0,北出口,011wwe6621w00001,闻韶街与永安路路口,1
011wwe64r4z00001,永康街与无名道路路口,2,东出口,011wwe64rhx00001,永康街与正安路路口,1
011wwe64r4z00001,永康街与无名道路路口,6,西出口,011wwe64r3800001,永康街与永安路路口,1
011wwe64rhx00001,永康街与正安路路口,0,北出口,011wwe662hm00001,闻韶街与正安路路口,1
011wwe64rhx00001,永康街与正安路路口,2,东出口,011wwe64x0q00001,永康街与龙海路路口,1
011wwe64rhx00001,永康街与正安路路口,4,南出口,011wwe64kkb00001,正安路与黄河大街路口,1
011wwe64rsw00002,党校南路与党校南路路口,2,东出口,011wwe64x8t00001,党校南路与龙海路路口,1
011wwe64x0q00001,永康街与龙海路路口,0,北出口,011wwe64x8t00001,党校南路与龙海路路口,1
011wwe64x0q00001,永康街与龙海路路口,2,东出口,011wwe64xjn00001,永康街与经六路路口,1
011wwe64x0q00001,永康街与龙海路路口,6,西出口,011wwe64rhx00001,永康街与正安路路口,1
011wwe64x4y00001,岔口,6,西出口,011wwe64x0q00001,永康街与龙海路路口,1
011wwe64x8t00001,党校南路与龙海路路口,0,北出口,011wwe6680t00001,闻韶街与龙海路路口,1
011wwe64x8t00001,党校南路与龙海路路口,2,东出口,011wwe64xth00001,党校南路与经六路路口,1
011wwe64x8t00001,党校南路与龙海路路口,4,南出口,011wwe64x0q00001,永康街与龙海路路口,1
011wwe64xjn00001,永康街与经六路路口,0,北出口,011wwe64xth00001,党校南路与经六路路口,1
011wwe64xth00001,党校南路与经六路路口,0,北出口,011wwe668jh00001,闻韶街与经六路路口,1
011wwe64xth00001,党校南路与经六路路口,4,南出口,011wwe64xjn00001,永康街与经六路路口,1
011wwe64xth00001,党校南路与经六路路口,6,西出口,011wwe64x8t00001,党校南路与龙海路路口,1
011wwe650js00001,无名道路与308国道路口,3,东南出口,011wwe3gq8q00001,308国道与321省道路口,1
011wwe650js00001,无名道路与308国道路口,7,西北出口,011wwe64kkb00001,正安路与黄河大街路口,1
011wwe6600t00001,闻韶街与金海路路口,2,东出口,011wwe6605m00001,闻韶街与银河路路口,1
