target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe28x0j00001,农干院路与华阳路路口,北进口左转,0,1,1,2,011wwe28x7600001,花园东路与花园路路口,7,1,evening_peak,0.288,0.0389,0.2894,,,59.1,,,OTHER,False,False,False,,,False
011wwe28x0j00001,农干院路与华阳路路口,北进口直行,0,1,2,4,011wwe28w2300001,华能路与华阳路路口,1,2,evening_peak,0.1013,0.0203,0.8507,,,20.8,0.0363,,OTHER,False,False,False,False,True,True
011wwe28x0j00001,农干院路与华阳路路口,东进口左转,2,3,1,4,011wwe28w2300001,华能路与华阳路路口,1,1,evening_peak,0.0336,0.0039,0.053,,,13.7,0.2531,,OTHER,False,False,False,False,True,True
011wwe28x0j00001,农干院路与华阳路路口,东进口直行,2,3,2,6,011wwe28rn500001,花园路与无名道路路口,3,2,evening_peak,0.1432,0.0627,0.2437,,,58.4,,,OTHER,False,False,False,,,False
011wwe28x0j00001,农干院路与华阳路路口,南进口左转,4,5,1,6,011wwe28rn500001,花园路与无名道路路口,3,1,evening_peak,0.0489,0.007,0.1728,,,25.6,,,OTHER,False,False,False,,,False
011wwe28x0j00001,农干院路与华阳路路口,南进口直行,4,5,2,0,011wwe2b80r00001,农干院路与祝甸路路口,5,2,evening_peak,0.1407,0.0133,0.1407,,,73.6,,,OTHER,False,False,False,,,False
011wwe28x0j00001,农干院路与华阳路路口,西进口左转,6,7,1,0,011wwe2b80r00001,农干院路与祝甸路路口,5,1,evening_peak,0.1735,0.025,0.1735,,,39.6,,,OTHER,False,False,False,,,False
011wwe28x0j00001,农干院路与华阳路路口,西进口直行,6,7,2,2,011wwe28x7600001,花园东路与花园路路口,7,2,evening_peak,0.3287,0.1779,0.546,,,75.0,,,OTHER,False,False,False,,,False
011wwe28x7600001,花园东路与花园路路口,北进口直行,0,1,2,4,011wwe28w7700001,化纤厂路与华能路路口,1,2,evening_peak,0.0876,0.0044,0.4143,,,19.8,0.0999,,OTHER,False,False,False,False,True,True
011wwe28x7600001,花园东路与花园路路口,南进口左转,4,5,1,6,011wwe28x0j00001,农干院路与华阳路路口,3,1,evening_peak,0.2843,0.0867,0.3987,,,29.8,0.0336,,OTHER,False,False,False,False,True,True
